Date/Time,Energy Produced (Wh)
2012-12-18,15174
2012-12-19,24791
2012-12-20,9773
2012-12-21,2303
2012-12-22,10290
2012-12-23,24817
2012-12-24,14637
2012-12-25,9971
2012-12-26,1948
2012-12-27,11267
2012-12-28,23779
2012-12-29,1311
2012-12-30,19373
2012-12-31,11406
2013-01-01,4094
2013-01-02,21615
2013-01-03,24617
2013-01-04,11671
2013-01-05,26274
2013-01-06,24747
2013-01-07,26066
2013-01-08,24956
2013-01-09,10059
2013-01-10,27886
2013-01-11,4532
2013-01-12,5304
2013-01-13,3532
2013-01-14,3943
2013-01-15,3770
2013-01-16,1123
2013-01-17,14466
2013-01-18,30357
2013-01-19,31102
2013-01-20,28198
2013-01-21,10651
2013-01-22,27584
2013-01-23,24414
2013-01-24,33269
2013-01-25,12016
2013-01-26,27703
2013-01-27,35766
2013-01-28,1766
2013-01-29,10952
2013-01-30,7907
2013-01-31,30791
2013-02-01,22582
2013-02-02,32803
2013-02-03,12993
2013-02-04,32580
2013-02-05,3693
2013-02-06,21612
2013-02-07,13962
2013-02-08,1793
2013-02-09,11905
2013-02-10,44434
2013-02-11,3857
2013-02-12,41520
2013-02-13,22766
2013-02-14,38481
2013-02-15,40862
2013-02-16,18333
2013-02-17,39951
2013-02-18,50099
2013-02-19,12352
2013-02-20,36640
2013-02-21,39532
2013-02-22,17099
2013-02-23,4421
2013-02-24,25852
2013-02-25,27941
2013-02-26,15005
2013-02-27,14141
2013-02-28,19355
2013-03-01,25532
2013-03-02,26968
2013-03-03,25580
2013-03-04,52184
2013-03-05,52818
2013-03-06,4201
2013-03-07,21351
2013-03-08,2082
2013-03-09,54513
2013-03-10,50625
2013-03-11,21739
2013-03-12,4343
2013-03-13,46630
2013-03-14,42733
2013-03-15,29158
2013-03-16,6043
2013-03-17,22521
2013-03-18,11068
2013-03-19,22370
2013-03-20,53633
2013-03-21,25636
2013-03-22,32198
2013-03-23,52882
2013-03-24,43337
2013-03-25,5700
2013-03-26,31977
2013-03-27,44615
2013-03-28,30700
2013-03-29,46068
2013-03-30,54421
2013-03-31,19197
2013-04-01,42666
2013-04-02,54770
2013-04-03,53931
2013-04-04,51717
2013-04-05,54902
2013-04-06,59769
2013-04-07,54186
2013-04-08,45249
2013-04-09,50569
2013-04-10,37997
2013-04-11,14143
2013-04-12,5649
2013-04-13,37610
2013-04-14,57274
2013-04-15,43870
2013-04-16,39646
2013-04-17,37070
2013-04-18,10646
2013-04-19,23400
2013-04-20,42235
2013-04-21,60714
2013-04-22,47648
2013-04-23,15005
2013-04-24,55634
